date,potatoes,pumpkins,Apples,Pears,highlight,annotate
10/08/16,104.3750563,99.47758743,10437.50563,9947.758743,,
11/08/16,105.2761347,100.6381567,10527.61347,10063.81567,,
12/08/16,104.9879268,100.5541417,10498.79268,10055.41417,,
15/08/16,105.240562,100.5020791,10524.0562,10050.20791,,
16/08/16,104.6274955,99.6659509,10462.74955,9966.59509,,
17/08/16,103.2655393,98.71050344,10326.55393,9871.050344,,
18/08/16,103.9060448,99.14353833,10390.60448,9914.353833,,
19/08/16,103.331099,98.32707317,10333.1099,9832.707317,,
22/08/16,102.8410182,98.09066919,10284.10182,9809.066919,,
23/08/16,103.8065783,98.79474191,10380.65783,9879.474191,,
24/08/16,104.10145,99.1080107,10410.145,9910.80107,,
25/08/16,103.1863581,98.4631507,10318.63581,9846.31507,,
26/08/16,103.7565021,99.251015,10375.65021,9925.1015,,
29/08/16,103.331883,98.85730629,10333.1883,9885.730629,,
30/08/16,104.441204,99.60003486,10444.1204,9960.003486,,
31/08/16,103.8047164,99.16945786,10380.47164,9916.945786,,
01/09/16,103.2326125,99.20185727,10323.26125,9920.185727,begin,begins
02/09/16,104.697759,101.4921605,10469.7759,10149.21605,,
05/09/16,104.584083,101.467805,10458.4083,10146.7805,,
06/09/16,104.7302939,101.2193351,10473.02939,10121.93351,,
07/09/16,105.3755032,101.8382755,10537.55032,10183.82755,,
08/09/16,104.614168,101.4928308,10461.4168,10149.28308,,
09/09/16,103.616073,100.3577342,10361.6073,10035.77342,,
12/09/16,102.2277558,99.20476204,10222.77558,9920.476204,,
13/09/16,101.7851053,98.02899859,10178.51053,9802.899859,,
14/09/16,101.7047481,97.65093098,10170.47481,9765.093098,,
15/09/16,102.22217,97.71707047,10222.217,9771.707047,,
16/09/16,100.7029293,96.80608841,10070.29293,9680.608841,,
19/09/16,101.6603557,98.18563298,10166.03557,9818.563298,,
20/09/16,101.8562508,98.06072767,10185.62508,9806.072767,,
21/09/16,102.2740101,98.5288433,10227.40101,9852.88433,,
22/09/16,104.6032903,100.7693184,10460.32903,10076.93184,,
23/09/16,104.1406486,100.2971808,10414.06486,10029.71808,,
26/09/16,101.8547809,98.49085778,10185.47809,9849.085778,,
27/09/16,101.538938,98.28595944,10153.8938,9828.595944,,
28/09/16,102.2921395,99.04053055,10229.21395,9904.053055,,
29/09/16,101.9707108,99.29503351,10197.07108,9929.503351,,
30/09/16,103.0043785,99.39379585,10300.43785,9939.379585,,
03/10/16,103.0043785,99.51222128,10300.43785,9951.222128,,
04/10/16,104.0685231,100.6189405,10406.85231,10061.89405,,
05/10/16,103.7370008,100.3253348,10373.70008,10032.53348,,
06/10/16,103.5706026,100.1052422,10357.06026,10010.52422,,
07/10/16,102.8068174,99.43066414,10280.68174,9943.066414,,
10/10/16,104.1123276,100.4886725,10411.23276,10048.86725,,
11/10/16,103.6525277,99.91844286,10365.25277,9991.844286,,
12/10/16,103.1224643,99.48272665,10312.24643,9948.272665,,
13/10/16,102.0543019,98.43097473,10205.43019,9843.097473,,
14/10/16,103.6840826,99.90012044,10368.40826,9990.012044,,
17/10/16,102.9313711,99.43781436,10293.13711,9943.781436,,
18/10/16,104.185531,100.748985,10418.5531,10074.8985,,
19/10/16,104.3240001,101.003488,10432.40001,10100.3488,,
20/10/16,104.869939,101.4463544,10486.9939,10144.63544,,
21/10/16,104.9614678,101.3558595,10496.14678,10135.58595,,
24/10/16,105.4557624,101.7247659,10545.57624,10172.47659,,
25/10/16,105.4179357,101.4624424,10541.79357,10146.24424,,
26/10/16,104.9511781,101.3227897,10495.11781,10132.27897,,
27/10/16,105.0236956,101.2999984,10502.36956,10129.99984,,
28/10/16,104.8189808,101.6353882,10481.89808,10163.53882,,
31/10/16,104.5134275,100.7568056,10451.34275,10075.68056,,
01/11/16,103.1527453,99.88582001,10315.27453,9988.582001,,
02/11/16,101.6315447,98.64324673,10163.15447,9864.324673,,
03/11/16,101.1900702,98.57643691,10119.00702,9857.643691,,
04/11/16,100.5359432,97.81181081,10053.59432,9781.181081,,
07/11/16,102.4745111,99.6831561,10247.45111,9968.31561,,
08/11/16,102.7231284,100.0335166,10272.31284,10003.35166,end,ends
09/11/16,104.327234,101.5214317,10432.7234,10152.14317,,
10/11/16,104.1715175,101.2414561,10417.15175,10124.14561,,
11/11/16,104.5422385,100.3101406,10454.22385,10031.01406,,
14/11/16,104.7944816,100.740941,10479.44816,10074.0941,,
15/11/16,105.2006774,101.3661379,10520.06774,10136.61379,,
16/11/16,104.5022559,100.5753689,10450.22559,10057.53689,,
17/11/16,104.7146144,101.1704008,10471.46144,10117.04008,,
18/11/16,104.5090176,100.6470944,10450.90176,10064.70944,,
21/11/16,104.7105966,101.2108442,10471.05966,10121.08442,,
22/11/16,104.9920427,101.630249,10499.20427,10163.0249,,
23/11/16,104.4882424,101.2025768,10448.82424,10120.25768,,
24/11/16,104.7510691,101.5008748,10475.10691,10150.08748,,
25/11/16,104.8491637,101.6731503,10484.91637,10167.31503,,
28/11/16,103.7065238,100.7820547,10370.65238,10078.20547,,
29/11/16,104.0771468,101.6997401,10407.71468,10169.97401,,
30/11/16,104.271278,102.3003582,10427.1278,10230.03582,,
01/12/16,103.2300646,101.9041916,10323.00646,10190.41916,,
02/12/16,103.0272117,101.1938624,10302.72117,10119.38624,,
05/12/16,104.7076567,102.2105336,10470.76567,10221.05336,,
06/12/16,105.5944275,103.4980192,10559.44275,10349.80192,,
07/12/16,105.5944275,103.4980192,10559.44275,10349.80192,,
