date,Pearson,Sky,Bloomsbury,Vitesse Media,Totally,highlight,annotate
17/11/2011,1102,721,97,4.75,59.74,,
24/11/2011,1069,715.5,95,4.75,57.25,,
01/12/2011,1135,766,94.75,4.75,57.25,,
08/12/2011,1133,734.5,97.25,4.75,54.76,,
15/12/2011,1134,725,98.38,4.75,54.76,,
22/12/2011,1191,712.5,99,4.75,52.27,,
29/12/2011,1222,734.5,98.38,4.75,52.27,,
05/01/2012,1212,721,95,4.75,72.19,,
12/01/2012,1222,697.5,92.5,4.75,72.19,,
19/01/2012,1230,666.5,103,4.25,67.21,,
26/01/2012,1177,671.5,109.5,4.25,74.68,,
02/02/2012,1196,686,112,4.25,64.72,,
09/02/2012,1202,701,114,4.25,151.84,,
16/02/2012,1221,689.5,124,4.25,112.02,,
23/02/2012,1233,687.5,121.75,3.5,107.04,,
01/03/2012,1211,674.5,121.25,3.75,107.04,,
08/03/2012,1209,694,117.25,3.63,109.53,,
15/03/2012,1210,693.5,115.25,3.75,112.02,,
22/03/2012,1205,693.5,113.75,3.75,97.08,,
29/03/2012,1170,667,109.5,3.75,94.59,,
05/04/2012,1135,635.5,109.5,3.25,92.1,,
12/04/2012,1134,662,109.87,3.25,82.14,,
19/04/2012,1113,665.5,109.87,3.75,87.12,,
26/04/2012,1150,667.5,106.75,3.75,87.12,,
03/05/2012,1166,704,108,3.63,84.63,,
10/05/2012,1163,692,109,3.63,74.68,,
17/05/2012,1143,689,105,3.5,72.19,,
24/05/2012,1137,699.5,115,3.5,84.63,,
31/05/2012,1137,688,114,3.5,92.1,,
07/06/2012,1148,681,112,3.5,79.66,,
14/06/2012,1184,671,113,3.5,74.68,,
21/06/2012,1210,678.5,113.25,3.5,84.63,,
28/06/2012,1243,680,115,3.75,79.66,,
05/07/2012,1250,687.5,115,3.75,94.59,,
12/07/2012,1249,688,115,3.75,116.99,,
19/07/2012,1290,693.5,128,3.75,149.35,,
26/07/2012,1294,706.5,135,3.75,109.53,,
02/08/2012,1223,723.5,129,3.75,126.95,,
09/08/2012,1235,752,135,3.75,126.95,,
16/08/2012,1212,766,140,3.75,139.4,,
23/08/2012,1212,760.5,145.25,3.25,136.91,,
30/08/2012,1201,760,136.25,3.25,134.42,,
06/09/2012,1202,769.5,130.25,3.25,121.97,,
13/09/2012,1179,744,134.5,3.25,121.97,,
20/09/2012,1182,734,133,3.25,159.31,,
27/09/2012,1217,751,134,3.25,139.4,,
04/10/2012,1252,761,134.5,3.25,129.44,,
11/10/2012,1248,751,131.25,3.13,131.93,,
18/10/2012,1215,733.5,140,3.13,149.35,,
25/10/2012,1212,720,131.75,3.13,141.89,,
01/11/2012,1252,759,126.75,2.88,129.44,,
08/11/2012,1230,749.5,123,2.88,134.42,,
15/11/2012,1189,746,120,2.75,129.44,,
22/11/2012,1175,766,120,2.75,129.44,,
29/11/2012,1175,771.5,120,2.75,146.86,,
06/12/2012,1190,766.5,118.75,2.63,141.89,,
13/12/2012,1184,761,119.88,2.63,126.95,,
20/12/2012,1200,780,119,2.63,116.99,,
27/12/2012,1196,780.5,117,2.63,109.53,,
03/01/2013,1211,780.5,118.25,2.63,112.02,,
10/01/2013,1193,773.5,118,2.63,161.8,,
17/01/2013,1232,790.5,121,2.63,149.35,,
24/01/2013,1187,794,122.75,2.38,144.37,,
31/01/2013,1194,817.5,115,2.13,161.8,,
07/02/2013,1203,818,112,2.13,156.82,,
14/02/2013,1207,831,110.13,2.25,154.33,,
21/02/2013,1222,824.5,108,2.13,139.4,,
28/02/2013,1155,850.5,104,1.88,139.4,,
07/03/2013,1165,866.5,108,1.88,121.97,,
14/03/2013,1204,881,106.75,2.13,119.48,,
21/03/2013,1172,886.5,113,2.13,136.91,,
28/03/2013,1184,883,115,1.65,136.91,,
04/04/2013,1142,878.5,116.25,1.63,136.91,,
11/04/2013,1155,864,115,1.63,136.91,,
18/04/2013,1119,836.5,113.38,1.63,136.91,,
25/04/2013,1149,850,114.5,2,119.48,,
02/05/2013,1169,851,115,2,144.37,,
09/05/2013,1186,809,117.5,2.13,144.37,,
16/05/2013,1204,795,118,2.13,166.78,,
23/05/2013,1217,791.5,121,2.13,156.82,,
30/05/2013,1238,782,130,2.13,164.29,,
06/06/2013,1177,764,126.25,2,139.4,,
13/06/2013,1179,792,121,2.25,129.44,,
20/06/2013,1162,775,125.75,2.25,131.93,,
27/06/2013,1154,790,127.75,2.25,121.97,,
04/07/2013,1206,812.5,127.5,2.13,131.93,,
11/07/2013,1242,826.5,133.5,2.13,129.44,,
18/07/2013,1264,845,137.5,2.13,116.99,,
25/07/2013,1252,850,134,1.75,109.53,,
01/08/2013,1344,833,139.5,1.75,102.06,,
08/08/2013,1324,841,140.63,2,89.61,,
15/08/2013,1313,830,140.5,1.63,89.61,,
22/08/2013,1325,827,141,1.63,82.14,,
29/08/2013,1280,847,137,1.63,74.68,,
05/09/2013,1285,851.5,142.75,1.75,79.66,,
12/09/2013,1275,857.5,144.25,2,67.21,,
19/09/2013,1286,861.5,146.5,2,64.72,,
26/09/2013,1253,877.5,147.25,2.25,72.19,,
03/10/2013,1226,881.5,154.5,2.25,72.19,,
10/10/2013,1297,869.5,165.75,2.13,59.74,,
17/10/2013,1317,940,168.5,2.13,67.21,,
24/10/2013,1355,950,171.75,2.13,62.23,,
31/10/2013,1304,937.5,172.5,2.13,64.72,,
07/11/2013,1293,934.5,174.75,2.13,74.68,,
14/11/2013,1325,818.5,174.75,2.13,77.17,,
21/11/2013,1342,834,168.5,2.13,67.21,,
28/11/2013,1352,819.5,170.88,2.13,69.7,,
05/12/2013,1287,789.5,171.75,2.13,69.7,,
12/12/2013,1271,788,174.75,2.13,67.21,,
19/12/2013,1300,793,177.75,2.13,64.72,,
26/12/2013,1326,833,176.25,2.13,54.76,,
02/01/2014,1340,843.5,175.25,2.13,62.23,,
09/01/2014,1305,824.5,168,2.13,54.76,,
16/01/2014,1291,845,167.25,2.13,52.27,,
23/01/2014,1191,854.5,168.5,2.13,62.23,,
30/01/2014,1115,878,173,2.75,52.27,,
06/02/2014,1086,893.5,170,2.75,52.27,,
13/02/2014,1115,891.5,177,2.75,57.25,,
20/02/2014,1110,917,178.75,2.75,57.25,,
27/02/2014,1076,939.5,174.38,3.63,69.7,,
06/03/2014,1033,932,175.25,7,72.19,,
13/03/2014,998.5,914.5,175.25,5.88,64.72,,
20/03/2014,999.5,942,176,5,69.7,,
27/03/2014,1026,930,174.75,4.63,77.17,,
03/04/2014,1008,892.5,174,4.75,69.7,,
10/04/2014,1041,887.5,169.25,4.75,87.12,,
17/04/2014,1062,890,167.12,4.75,74.68,,
24/04/2014,1050,893.5,169,4.75,72.19,,
01/05/2014,1102,900.5,158.25,4.88,62.23,,
08/05/2014,1118,889,150.25,5,62.23,,
15/05/2014,1150,850,167,5,54.76,,
22/05/2014,1144,872.5,163.5,4.88,62.23,,
29/05/2014,1164,885.5,167,4.88,69.7,,
05/06/2014,1148,872,167,4.88,69.7,,
12/06/2014,1129,876,166.5,4.88,64.72,,
19/06/2014,1123,871.5,188.5,4.88,59.74,,
26/06/2014,1144,889.5,178.75,4.75,59.74,,
03/07/2014,1143,903,177.75,4.75,52.27,,
10/07/2014,1092,869.5,165.75,4.75,57.25,,
17/07/2014,1109,897.5,173.5,4.75,54.76,,
24/07/2014,1101,925,175,4.75,62.23,,
31/07/2014,1141,879,176.25,4.88,59.74,,
07/08/2014,1119,850,171.75,4.88,62.23,,
14/08/2014,1120,854,171,4.88,59.74,,
21/08/2014,1125,861.5,177.13,4.5,57.25,,
28/08/2014,1111,871,179.38,4.38,54.76,,
04/09/2014,1109,885,173.5,3.75,49.78,,
11/09/2014,1154,868,170.5,3.75,49.78,,
18/09/2014,1218,884,164.25,3.75,49.78,,
25/09/2014,1230,872.5,166,3.75,39.83,,
02/10/2014,1204,875,165.25,3.63,34.85,,
09/10/2014,1173,892.5,165,3.63,34.85,,
16/10/2014,1132,850,159.25,3.13,32.36,,
23/10/2014,1169,859.5,154.25,3.13,37.34,,
30/10/2014,1160,882,157,3,39.83,,
06/11/2014,1186,885,162,3.13,39.83,,
13/11/2014,1201,850.5,161.25,3.13,34.85,,
20/11/2014,1220,897,163.88,3.13,34.85,,
27/11/2014,1224,922.5,162.75,3.75,34.85,,
04/12/2014,1212,926,161,3.13,34.85,,
11/12/2014,1170,918,160,3.13,29.87,,
18/12/2014,1190,900,161,2.88,29.87,,
25/12/2014,1179,899,162.5,2.88,32.36,,
01/01/2015,1190,899,162.13,2.88,32.36,begin,
08/01/2015,1163,887,152.38,2.88,37.34,,
15/01/2015,1200,919.5,156.25,2.88,24.89,,
22/01/2015,1318,936.5,152,2.88,34.85,,
29/01/2015,1361,934,149,2.88,34.85,,
05/02/2015,1358,960,149.75,2.63,32.36,,
12/02/2015,1375,927.5,151.25,2.63,24.89,,
19/02/2015,1398,956,149.25,2.88,27.38,,
26/02/2015,1396,998.5,148.75,2.75,27.38,,
05/03/2015,1454,1003,153,2.5,24.89,,
12/03/2015,1448,991,145.25,2.5,24.89,,
19/03/2015,1493,1027,151.25,2.5,22.4,,
26/03/2015,1479,1006,153.75,2.38,17.42,,
02/04/2015,1436,997,150,2.38,24.89,,
09/04/2015,1466,1045,159.75,2.38,24.89,,
16/04/2015,1370,1047,160.25,2.38,19.91,,
23/04/2015,1402,1090,161.75,2.25,17.42,,
30/04/2015,1320,1077,167.5,2.25,27.38,,
07/05/2015,1309,1067,173.5,2.25,22.4,,
14/05/2015,1323,1077,178,2.13,25.89,,
21/05/2015,1342,1087,177.25,2.13,24.89,,
28/05/2015,1335,1068,184.5,3.13,32.36,,
04/06/2015,1287,1040,179,3.25,29.87,,
11/06/2015,1286,1039,177,3.13,29.87,,
18/06/2015,1253,1038,176.5,3.13,29.87,,
25/06/2015,1271,1069,168.25,3.13,24.89,,
02/07/2015,1215,1051,161.25,2.75,27.38,,
09/07/2015,1216,1044,158,2.75,24.89,,
16/07/2015,1263,1140,162,2.25,19.91,,
23/07/2015,1234,1136,163.25,2.13,27.38,,
30/07/2015,1193,1119,164.13,1.5,29.87,,
06/08/2015,1196,1100,164.5,1.63,24.89,,
13/08/2015,1151,1079,169.63,1.88,21.41,,
20/08/2015,1143,1064,173,1.75,22.4,,
27/08/2015,1106,1039,170.75,1.75,29.87,,
03/09/2015,1107,1030,169.25,1.75,32.36,,
10/09/2015,1149,1033,165.5,1.63,27.38,,
17/09/2015,1131,1014,168.75,1.88,32.86,,
24/09/2015,1098,1017,169.5,1.88,32.86,,
01/10/2015,1152,1041,169.25,1.88,32.86,,
08/10/2015,1213,1083,169.5,1.63,32.86,,
15/10/2015,1189,1074,169,1.75,32.86,,"Label 2"
22/10/2015,950,1092,168,1.75,37.34,,
29/10/2015,875.5,1104,167.25,1.25,44.31,,
05/11/2015,847.5,1084,167.75,1.25,41.32,,
12/11/2015,774,1078,163.5,1.25,43.81,,
19/11/2015,815,1103,160.25,1.13,43.81,,
26/11/2015,834.5,1118,159.5,1.13,41.82,,
03/12/2015,801.5,1111,160,1.13,39.83,,
10/12/2015,737,1076,158.38,1.13,39.83,,
17/12/2015,751.5,1102,156.5,1.13,41.82,,
24/12/2015,768,1099,154,1.13,41.82,,
31/12/2015,736,1112,150.5,1.13,41.82,end,
07/01/2016,699,1084,151.75,1.13,72.69,,
14/01/2016,719.5,1057,147.25,1.25,65.72,,
21/01/2016,772,1012,147,1.63,68.2,,
28/01/2016,777,1041,145.5,1.38,68.7,,
04/02/2016,780.5,1066,148.75,2.5,68.2,,
11/02/2016,719.5,976,148.5,2.25,63.72,,
18/02/2016,796.5,1020,153.5,1.88,55.76,,
25/02/2016,801.5,1026,155.5,2.13,56.75,,
03/03/2016,857,1030,153,2.13,59.74,,
10/03/2016,850,984.5,147.25,1.88,69.7,,
17/03/2016,896.5,1013,150,1.63,78.16,,
24/03/2016,883,1016,147.25,1.63,70.69,,
31/03/2016,875,1024,147.25,1.63,69.7,,
07/04/2016,825,1019,147,1.63,71.19,,
14/04/2016,835.5,1008,148.13,1.75,67.71,,
21/04/2016,834.5,985,156,1.63,62.23,,
28/04/2016,814.5,944,155.25,1.38,62.23,,
05/05/2016,805,933.5,152,2.38,62.73,,
12/05/2016,806,926,150.88,2.25,63.23,,
19/05/2016,802.5,921,151,2.38,60.24,,
26/05/2016,825.5,971.5,163.5,2.75,57.75,,
02/06/2016,849.5,939,164,2.75,52.77,,
09/06/2016,818.5,955,161.38,2.88,53.27,,
16/06/2016,807.5,851.5,151.5,3.13,61.23,,
23/06/2016,888,893.5,161.5,2.88,62.23,,
30/06/2016,967,848,160.25,2.75,59.74,,
07/07/2016,948,848,160,3.63,62.73,,
14/07/2016,953.5,872,164.75,3.88,62.73,,
21/07/2016,963,867,167.5,4.13,67.21,,
28/07/2016,970,904,167.5,4.13,65.72,,
04/08/2016,893.5,909.5,168.75,4.25,61.73,,
11/08/2016,890,884.5,178.5,4.75,61.73,,
18/08/2016,863,855,175.5,4.75,58.25,,
25/08/2016,862,873,170,4.13,59.74,,
01/09/2016,858.5,852.5,163,4.13,69.7,,
08/09/2016,797,862,163.5,3.88,65.72,,
15/09/2016,780,833,159,3.63,64.72,,
22/09/2016,774,862,155.75,3.38,67.21,,
29/09/2016,749.5,910.5,156.25,3.38,64.22,,
06/10/2016,794,901,153,4.13,55.76,,
13/10/2016,814,848,150,3.75,61.23,,
20/10/2016,765.5,825,149,3.75,58.75,,
27/10/2016,743,820.5,149.75,3.88,56.75,,
03/11/2016,736,811,152,3.88,59.24,,
10/11/2016,749.5,790,153.5,3.75,57.25,,
17/11/2016,760.5,784.5,156.5,3.13,56.26,,
24/11/2016,783.5,757.5,157.25,3.13,57.75,,
01/12/2016,782.5,773.5,163.75,3.13,59.74,,
08/12/2016,780.5,789.5,160.75,3.25,56.75,,
15/12/2016,815,988,165.75,3.25,57.75,,
22/12/2016,819,988.5,167,3.38,53.77,,
29/12/2016,818.5,989,168.25,2.88,53.77,,
05/01/2017,812.5,990,169.25,2.88,54.27,,
12/01/2017,813,990.5,166,2.63,55.76,,
19/01/2017,588.5,999,163,2.75,56.26,,
26/01/2017,622,1004,169,2.88,56.26,,
02/02/2017,643,1005,169,2.88,56.26,,
09/02/2017,660,1000,170.63,2.88,58.25,,
16/02/2017,660,998,170,2.88,58.25,,
23/02/2017,646,1000,170.75,2.88,57.75,,
02/03/2017,687.5,998.5,172.5,2.88,58.5,,
09/03/2017,678,996.5,171.88,2.88,59,,
16/03/2017,659,991,172.5,2.88,59,,
23/03/2017,635,982.5,174,2.88,59,,
30/03/2017,668,977,177.75,2.88,59.5,,
06/04/2017,637,962,172.5,2.88,58.5,,
